PERGUNTAS,RESPOSTAS
"PÓS-GRADUAÇÃO EM​ Farmácia Clínica, Hospitalar e Comunitária","O curso pertence à área de Ciências da Saúde. O curso destina-se a profissionais formados em Farmácia. O curso de Farmácia Clínica Hospitalar e Comunitária visa a capacitação e atualização dos profissionais farmacêuticos para a prática clínica. Busca contribuir para a formação de profissionais farmacêuticos qualificados para enfrentar os desafios da prática da clínica farmacêutica e contribuir para o efetivo desenvolvimento dessa prática nos serviços de saúde da região Centro-oeste do Brasil. Carga horária: 396 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Docentes: Ana Carolina Figueiredo Modesto, Ane Trento e Vanessa Fernandes Vieira. Para mais informações: ufg.nafsaude.farmacia@gmail.com"
PÓS-GRADUAÇÃO EM​ Implantodontia,"O curso pertence à área de Ciências da Saúde. O curso destina-se a graduados em Odontologia e que já tenham realizado pós-graduação em Cirurgia Odontológica. Objetivos: → Capacitar os profissionais com conhecimentos teóricos e práticos necessários para a realização de procedimentos cirúrgicos e protéticos reabilitadores relacionados com implantes e próteses sobre implantes. → Oferecer tratamentos odontológicos visando a resolução de problemas decorrentes de perdas dentárias. → Realizar integração entre os pacientes atendidos no curso de graduação em Odontologia da FO-UFG. → Viabilizar o acesso de discentes do curso de graduação em Odontologia, possibilitando o acompanhamento de casos com maior complexidade em relação aos oportunizados no curso de graduação. → Viabilizar o acesso de discentes do programa de Pós-Graduação “Stricto Sensu” e servir de campo de prática para atividades de pesquisa e extensão. Carga horária: 1024 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: (62) 3209-6324 ; daniela_peixoto@ufg.br"
PÓS-GRADUAÇÃO EM​ Odontologia para Pacientes com Necessidades Especiais,"O curso pertence à área de Ciências da Saúde. O curso destina-se a graduados em Odontologia e que já tenham realizado pós-graduação em Cirurgia Odontológica. O curso de Odontologia Para Pacientes com Necessidades Especiais busca capacitar Cirurgiões-Dentistas com conhecimentos teóricos e práticos necessários para a realização de procedimentos odontológicos em ambiente ambulatorial, domiciliar e hospitalar. Possui por fundamentos os princípios da área de Odontologia para pacientes com necessidades especiais (OPNE), Odontologia Hospitalar e Odonto Geriatria, objetivando o atendimento e tratamento em pacientes com deficiência e condições especiais de saúde, dentro de princípios éticos e embasados em evidências científicas. Carga horária: 1004 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Docentes do curso: Nádia do Lago Costa, Francine do Couto Lima Moreira. Para mais informações: (62) 3209-6325 ; glaucia_silva@ufg.br"
PÓS-GRADUAÇÃO EM​ Odontopediatria,"O curso pertence à área de Ciências da Saúde. O curso destina-se a graduados em Odontologia e que já tenham realizado Pós-Graduação em Cirurgia Odontológica. Objetivos: → Capacitar os profissionais com conhecimentos teóricos e práticos necessários para a realização de procedimentos odontológicos em crianças e adolescentes relacionados com a prevenção e reabilitação bucal. → Oferecer tratamentos odontológicos visando a prevenção da doença cárie e periodontal, com acompanhamento do crescimento e desenvolvimento do sistema estomatognático da criança à idade adulta de forma multidisciplinar com outras áreas da saúde (psicologia, nutrição, fonoaudiologia, pediatria). → Realizar uma integração entre os pacientes atendidos no curso de graduação em Odontologia da FO-UFG. → Viabilizar o acesso de discentes do curso de graduação em Odontologia, possibilitando o acompanhamento de casos de maior complexidade. → Viabilizar o acesso de discentes do programa de pós-graduação “Stricto Sensu” e servir de campo de prática para atividades de pesquisa e extensão. Carga horária: 768 horas. Modalidade Híbrida. Reconhecido pelo MEC. Início das Aulas em definição. Docente do curso: Francine do Couto Lima Moreira. Para mais informações: (62) 3209-6049 ; julianasousa@ufg.br"
PÓS-GRADUAÇÃO EM​ Prótese Dentária,"O curso pertence à área de Ciências da Saúde. O curso destina-se a graduados em Odontologia e que já tenham realizado Pós-Graduação em Cirurgia Odontológica. O curso de Prótese Dentária visa especializar Cirurgiões-Dentistas em prótese dentária por meio de seu desenvolvimento e aprimoramento técnico-científico. Dessa forma, propiciar condições efetivas para o diagnóstico e busca de soluções relacionadas ao edentulismo e ao planejamento e execução da reabilitação oral por meio de próteses (fixa, removível, total e sobreimplantes) dentro dos fundamentos de oclusão, visando acima de tudo o bem-estar do paciente. Carga horária: 858 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: (62) 3209-6324 ; daniela_peixoto@ufg.br"
PÓS-GRADUAÇÃO EM​ Treinamento de Força,"O curso pertence à área de Ciências da Saúde. O curso destina-se a graduados em licenciatura e bacharelado em Educação Física, Esporte e áreas afins. Objetivos: → Promover o aprofundamento, atualização e aperfeiçoamento de saberes e técnicas diretamente relacionados ao treinamento de força. → Formação multidisciplinar, que possibilite o conhecimento e compreensão de diversos aspectos relacionados ao treinamento de força. → Capacitação para o ingresso em Programas de Pós-Graduação Stricto Sensu em Educação Física e áreas correlatas. → Estimular a produção de conhecimento, a interação entre pesquisadores e o fortalecimento dos grupos de pesquisa em Biodinâmica da Faculdade de Educação Física. Carga horária: 364 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: (62) 3521 1099 / (62) 3521-1787 ; treinamentodeforca.fefd.ufg@gmail.com"
PÓS-GRADUAÇÃO EM​ Banco de Dados com Big Data,"O curso pertence à área de Ciências Exatas e da Terra. O curso destina-se a portadores de diploma nas graduações de Ciências da Computação, Sistemas de Informação, Engenharia de software, Engenharia de Computação e demais profissionais Desenvolvedores de Software, Arquitetos de Software e Especialistas em Processamento de Dados em geral. O curso de Banco de Dados com Big Data visa fornecer o conhecimento de tecnologias de última geração em banco de dados e dissemina o uso de várias ferramentas de desenvolvimento e controle de administração em projetos, criação de Data Warehouses e mineração de dados, de forma a alimentar a cadeia de tomada de decisão existente nas empresas. Carga horária: 360 horas. Modalidade Híbrida. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: mirian@inf.ufg.br"
PÓS-GRADUAÇÃO EM​ Data Science e Estatística Aplicada,"O curso pertence à área de Ciências Exatas e da Terra. O curso destina-se a profissionais das mais diversas áreas do conhecimento (Saúde, Estatística, Tecnologia da Informação, Ciência de Dados, entre outros), como também para portadores de diploma de nível superior, que atuem em serviços e órgãos governamentais da saúde ou que queiram desenvolver habilidades técnicas e aplicadas em Data Science e Estatística Aplicada em áreas da saúde. O curso de Data Science e Estatística Aplicada visa desenvolver competências profissionais e sólida formação teórica, prática e generalista em Data Science, análise de dados e estatística aplicada na área da saúde, capaz de proporcionar aos participantes atuação na gestão de dados em equipes multidisciplinares de saúde, de maneira crítica, reflexiva, ética e com rigor científico. Carga horária: 380 horas. Modalidade 100% Remota. Reconhecido pelo MEC. Início das Aulas em definição."
PÓS-GRADUAÇÃO EM​ Desenvolvimento Web e Mobile – FullStack,"O curso pertence à área de Ciências Exatas e da Terra. O curso destina-se a Profissionais Desenvolvedores de Sistemas, Softwares e Aplicações Web e Mobile, como também Engenheiros de Software, Arquitetos de Software, Profissionais de Computação e Tecnologia da Informação. O curso de Desenvolvimento Web e Mobile – Full Stack tem como objetivo formar mão-de-obra qualificada para o desenvolvimento de aplicações em seus níveis, tanto web quanto para dispositivos móveis. Nos últimos anos, o desenvolvimento de ferramentas para criação de aplicações para web tem aumentado de forma considerável. Além disso, as ferramentas e técnicas são cada vez mais especializadas, i.e. são direcionadas para o desenvolvimento de camadas específicas da aplicação. Seguindo essa tendência, profissionais têm se especializado em ferramentas e em camadas de aplicações. Todavia, há grande carência para encontrar bons profissionais que entendam o desenvolvimento em diferentes camadas e consigam fluir e comunicar de forma inteligível com diversos membros de equipes de desenvolvimento. Por conseguinte, esse curso também favorece a requalificação de profissionais de áreas afins para atuarem no mercado como desenvolvedores de aplicações web e mobile e oferece atualização tecnológica para desenvolvimento de aplicações web e mobile em seus diferentes níveis. Carga horária: 390 horas. Modalidade Híbrida. Reconhecido pelo MEC. Início das Aulas em definição. Docente do curso: Jacson Rodrigues Barbosa. Para mais informações: (62) 3521-1181 ; coord-espweb-mob@inf.ufg.br"
PÓS-GRADUAÇÃO EM​ Propriedade Industrial,"O curso pertence à área de Ciências Exatas e da Terra. O curso destina-se a profissionais da indústria, de instituições públicas e privadas de ensino, do Brasil e do mundo, numa abordagem totalmente internacionalizada, de centros de pesquisa, de escritórios de patentes e de órgãos governamentais, profissionais liberais com formação superior nas áreas da Ciência, Tecnologia, Saúde, Engenharia, Direito, entre outras. O curso de Propriedade Industrial se caracteriza como um projeto-piloto de internacionalização da Pós-Graduação Lato Sensu pela UFG, sendo viabilizado por apoios internacionais ao curso, formalizado com a Organização Mundial da Propriedade Intelectual (WIPO), que fornecerá materiais didáticos e palestrantes como contribuição às variadas disciplinas que compõem a grade curricular e pelo uso de ferramentas de tecnologia da informação e comunicação para viabilizar a interação ao vivo entre discentes no Brasil e no exterior, com professores também no Brasil e no exterior. Carga horária: 394 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: especializacao_patentes.quimica.ufg.br"
PÓS-GRADUAÇÃO EM​ Saúde Digital,"O curso pertence à área de Ciências Exatas e da Terra. O curso destina-se a Gestores Municipais, Estaduais de Instituições de Saúde, além de profissionais de saúde, preferencialmente àqueles que utilizam prontuário eletrônico para os registros da informação em saúde, profissionais da Tecnologia da Informação e diplomados em cursos de graduação reconhecidos pelo Ministério da Educação. O curso de Saúde Digital busca promover o aprimoramento e/ou a qualificação no contexto das tecnologias de informação e comunicação (TIC) em saúde, com vistas à melhoria dos processos de trabalho, de gestão e da qualidade da atenção à saúde no SUS. Carga horária: 450 horas. Modalidade 100% Remota. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: marianafaleiro@ufg.br ; https://especializacao.cgis.ufg.br/p/home"
PÓS-GRADUAÇÃO EM​ Políticas e Práticas Educacionais Inclusivas,"O curso pertence à área de Ciências Humanas. O curso destina-se a profissionais da Rede SESI (Professores e Gestores Escolares: Coordenadores, Supervisores, Orientadores Educacionais das escolas da Rede SESI). Objetivos: → Oportunizar, aos professores e gestores das escolas do SESI, subsídios teóricos e metodológicos para a implementação e fortalecimento da política da Educação Especial na perspectiva da Educação Inclusiva. → Contextualizar a educação especial, a luz dos fundamentos epistemológicos, históricos, políticos e legais da educação inclusiva. → Definir, identificar e caracterizar o atendimento educacional especializado para estudantes com Deficiência, Transtornos do Espectro Autista e Altas Habilidades/Superdotação nas escolas comuns do ensino regular. Carga horária: 394 horas. Modalidade 100% Remota. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: katiel_castro@ufg.br "
PÓS-GRADUAÇÃO EM​ Direito Agrário,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a Agentes do Conselho Indigenista Missionário. Objetivos: → Conferir o título de Especialista em Direito Agrário. → A formação especializada em Direito Agrário, por meio de uma abordagem crítica de seus conteúdos disciplinares específicos, de forma a aliar o estudo aprofundado da técnica jurídica com o estudo igualmente aprofundado dos fundamentos teóricos desse ramo do saber jurídico e de seus temas fundamentais. → Possibilitar aos agentes do Conselho Indigenista Missionário de todas as regiões brasileiras um espaço/ambiente de formação e de pesquisa acadêmica sobre o Direito Agrário. → Contribuir para a continuidade da experiência de 40 anos de formação do Conselho Indigenista Missionário, sempre numa confluência entre o embasamento teórico, a análise detida da realidade sócio-política brasileira e a observação do cotidiano de vida e de trabalho dos grupos acompanhados. → Aprofundar a experiência de relação da UFG com as demandas sociais, especialmente as demandas apresentadas pelos agentes coletivos legitimamente dedicados à formação e à organização social e política da sociedade brasileira. Carga horária: 380 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: (62) 3209-6021 ; marcus_teles@ufg.br"
PÓS-GRADUAÇÃO EM​ Direito Penal e Direito Processual Penal,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a bacharéis em Direito inscritos da OAB. O curso de Direito Penal e Direito Processual Penal visa contribuir com a formação de profissionais na área jurídica que sejam capazes de intervir na vida social e na organização do Estado, procurando a melhor aplicação dos sistemas de Direito e contribuindo para a solução de conflitos sociais. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição."
PÓS-GRADUAÇÃO EM​ Direito Público,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a profissionais com graduação em Ciências Humanas e Ciências Sociais Aplicadas. O curso de Direito Público visa contribuir com a formação de profissionais na área jurídica que sejam capazes de contribuir na vida social e na organização do Estado, procurando a melhor aplicação dos sistemas de Direito Público e contribuindo para a solução de conflitos. Além de tudo, oferecer aos advogados atuantes no Estado de Goiás uma formação sólida e atual em Direito Público. Carga horária: 360 horas. Modalidade Híbrida. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: (62) 98178-7284"
PÓS-GRADUAÇÃO EM​ Direito Tributário,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a profissionais graduados em Direito. O curso de Direito Tributário tem como objetivos: → Formar profissionais aptos a atuarem com primor técnico, acurado tirocínio e amplo conhecimento normativo em quaisquer questões de ordem tributária, em âmbito contencioso, administrativo e consultivo. → Atualizar os profissionais do direito quanto às mais recentes transformações nos âmbitos legislativo, jurisprudencial e doutrinário na seara do Direito Tributário. → Rever, com profundidade e criticidade adicionais, noções básicas de Direito Tributário, atinentes ao Sistema Constitucional Tributário, ao Código Tributário Nacional e à legislação extravagante sobre processo tributário (administrativo e contencioso) e tributos em espécie. → Introduzir o corpo discente em grandes questões do Direito Tributário Internacional contemporâneo, como harmonização fiscal, novas regulações de preços de transferência e propostas de tributação global. → Contextualizar os estudantes quanto às mais recentes teorias sobre a tributação, de modo a permitir-lhes compreensão introdutória quanto aos principais métodos e conceitos dos estudos sócio-fiscais. Carga horária: 382 horas. Modalidade 100% Remota. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: espdtributario.fd@ufg.br ; https://direito.ufg.br/p/50911-curso-de-especializacao-em-direito-tributario"
MBA EM​ Finanças: Investimentos e Riscos,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a profissionais com formação superior em qualquer área do conhecimento atuantes nos setores Financeiro, Bancário, Corretoras de Títulos e Valores Mobiliários, Empresas de Leasing, Seguradoras, Fundos de Pensão, Fundações e Empresas de Capital Aberto ou Fechado, Investidores e demais áreas afins. O MBA em Finanças, Investimento e Risco tem como propósito preparar profissionais para atuar com excelência na área de Finanças, Investimentos e Risco e, proporcionar uma formação sólida e aplicada aos mercados, produtos, estratégias e regulamentações que afetam diretamente o desempenho dos investimentos que gerenciam. Visa ainda fomentar os estudos sobre as várias modalidades de investimentos financeiros disponíveis no mercado, para que os profissionais desenvolvam habilidades e competências que permitam a obtenção de Certificações Financeiras variadas, melhorem a qualificação dos serviços de Consultoria e Gestão de Investimentos, além de aprimorar o processo de decisão de investimentos, agregando uma melhor relação risco e retorno frente às potenciais escolhas do mercado. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: osmar@ufg.br / sea.face@ufg.br ; https://sea.face.ufg.br/"
PÓS-GRADUAÇÃO EM​ Engenharia Econômica e Financeira para Negócios,"O curso pertence à área de Engenharias. O curso destina-se a profissionais graduados nas áreas de Ciências Econômicas e Contábeis, Administração, Engenharias, Informática e Tecnologias, bem como, profissionais que atuam na área de Gestão, Administração de Empresas, Consultorias, e profissionais que atuem na área da docência superior de instituições de ensino públicas e privadas. O curso de Engenharia Econômica e Financeira para Negócios visa proporcionar conhecimentos atualizados e modernos aos profissionais das áreas de Administração, Engenharias, Ciências Econômicas e Contábeis, Tecnologias e outras afins, apresentando as melhores normas, ferramentas e técnicas alinhadas à prática necessária para a implementação no dia-a-dia. Apresentar os vários critérios de avaliação de projetos de investimentos, assim como, uma metodologia e os conceitos nelas envolvidos, tal que seja fácil não só entender, mas habilitar o gestor a elaborar e analisar com segurança projetos de investimentos em sua área de atuação e lhe possibilitar, tecnicamente, visão crítica de projetos desenvolvidos nas demais áreas do seu local de trabalho. Além disso, o profissional terá uma visão ampliada e orientada do mercado de trabalho, integrando apuradas técnicas de viabilidade econômica e financeira de projetos. Carga horária: 435 horas. Modalidade 100% Remota. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações:  joaoreis@ufg.br"
PÓS-GRADUAÇÃO EM​ Tratamento e Disposição Final de Resíduos Sólidos e Líquidos,"O curso pertence à área de Engenharias. O curso destina-se a profissionais graduados em Engenharia, Agronomia, Geologia, Arquitetura, Química, Biologia e áreas afins. O curso de Tratamento e Disposição Final de Resíduos Sólidos e Líquidos tem por objetivo capacitar profissionais para atuar no projeto, operação e monitoração dos sistemas de tratamento e disposição final de resíduos sólidos urbanos e industriais, esgoto sanitário, efluentes líquidos industriais e lodos de estações de tratamento da água e esgoto, de forma que possam contribuir efetivamente com a solução dos problemas que o país enfrenta. O conteúdo abordado também irá propiciar análise crítica e avaliação comparativa das diversas tecnologias de tratamento e disposição final existentes para esses resíduos. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: (62) 3209-6093 / (62) 3209-6541 ; eliane_oliveira@ufg.com"
PÓS-GRADUAÇÃO EM​ Poéticas Visuais Contemporâneas e Práticas de Mediação na Educação Básica,"O curso pertence à área de Linguística, Letras e Artes. O curso destina-se a professores da Educação Básica. O curso de Poéticas Visuais Contemporâneas e Práticas de Mediação na Educação Básica visa tecer relações conceituais que permeiam o exercício da docência orientada pelas poéticas visuais contemporâneas e/em práticas de mediação, por meio do pensamento transdisciplinar, no desenvolvimento de processos metodológicos como deflagradores de reflexões, problematizações e reformulações de concepções vivenciadas no contexto escolar e no diálogo com outros espaços científico-culturais. Este curso visa formar especialistas em Poéticas Visuais Contemporâneas e Práticas de Mediação na Educação Básica, capazes de desencadear um pensamento docente transdisciplinar no diálogo com o universo da Educação, das Artes — com especial ênfase nas Artes Visuais — e da Cultura Visual. Carga horária: 400 horas. Modalidade 100% On-line. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: lorenareis@ufg.br"
